Date,IBM Open,IBM Close,SPY Open,SPY Close,GS Open,GS Close
4/12/2006,81.1,80.75,128.77,128.88,159.63,159.52
4/11/2006,81.83,81.16,129.85,128.64,163,159.15
4/10/2006,82.27,82.1,129.74,129.74,162.5,162.46
4/7/2006,83.6,82.48,131.06,129.54,162.04,161.02
4/6/2006,83.7,83.81,130.85,130.87,160.07,162.04
4/5/2006,83.33,84.17,130.61,131.01,160.5,160.75
4/4/2006,83.05,83.45,129.73,130.56,158.12,161
4/3/2006,82.72,83.06,130.07,129.73,157.99,158.12
3/31/2006,82.95,82.47,130.02,129.83,157,156.96
3/30/2006,82.88,83.2,130.11,129.8,157.73,156.81
3/29/2006,82.2,83.13,129.41,130.03,154.9,156.9
3/28/2006,82.86,82.43,129.93,129.22,155.01,154.16
3/27/2006,82.98,83.08,130.03,130.02,152.13,155
3/24/2006,82.99,83.36,129.99,130.21,151.68,152.17
3/23/2006,84.23,83.2,130.26,130.11,151.17,151.67
3/22/2006,83.35,84.45,129.51,130.38,148.3,151.82
3/21/2006,83.82,83.81,130.37,129.59,151.61,149.4
3/20/2006,83.11,83.58,130.64,130.41,150.05,152.18
3/17/2006,83.35,83.3,130.68,130.62,148.25,150.36
3/16/2006,83.43,82.87,131.01,131.03,149.1,147.69
3/15/2006,82.65,83.38,130.15,130.76,148.3,149
3/14/2006,81.51,82.88,128.71,130.18,145.92,149.42
3/13/2006,81.56,81.93,128.84,128.83,141.55,140.72
3/10/2006,81.03,81.57,127.71,128.59,141.63,141.53
3/9/2006,81.26,81.02,128.28,127.38,142.66,141.7
3/8/2006,80.25,81.14,127.7,128.24,143.55,142.49
3/7/2006,80.01,80.29,127.86,127.97,144.37,144.28
3/6/2006,79.91,80,129.14,128.17,146.54,145.02
3/3/2006,79.51,79.96,128.67,128.76,143.5,146
3/2/2006,79.55,79.94,128.9,129.36,143.07,144
3/1/2006,80.2,79.9,128.6,129.37,141.98,143.15
2/28/2006,80.1,80.24,129.2,128.23,143.6,141.29
2/27/2006,79.97,80.63,129.4,129.46,144.81,143.82
2/24/2006,80.65,80.1,129.11,129.41,143.05,144.16
2/23/2006,81.2,80.2,129.27,129.08,145.61,143.96
2/22/2006,80,81.35,128.77,129.27,143.45,145.53
2/21/2006,80.1,80.5,129.11,128.49,145.56,143.45
2/17/2006,80.91,80.71,129.05,128.81,146.19,145.54
2/16/2006,80.68,80.91,128.34,129.16,146.1,145.9
2/15/2006,80.86,80.85,127.68,128.2,142,145.14
2/14/2006,80.55,81.09,126.46,127.75,141.2,141.78
2/13/2006,81.33,80.44,126.6,126.41,139.65,139.65
2/10/2006,80.4,81.33,126.43,126.64,140.67,140.81
2/9/2006,80.4,80.4,126.92,126.41,141.14,140.85
2/8/2006,80.58,80.8,125.85,126.62,140.1,141.14
2/7/2006,79.5,79.85,126.38,125.48,142.35,139.48
2/6/2006,79.94,79.51,126.44,126.6,142.61,142.82
2/3/2006,80.55,79.97,126.58,126.27,141.55,142.74
2/2/2006,81.45,81.23,128.1,126.9,142.27,142.52
2/1/2006,80.9,81.94,127.82,128.39,141.4,141.71
1/31/2006,81.5,81.3,128.32,127.5,139.73,141.25
1/30/2006,80.21,81.63,128.44,128.44,139.55,139.87
1/27/2006,80.75,81.02,127.66,128.54,137.93,138.94
1/26/2006,81.5,80.72,127.25,127.36,133.01,137.4
1/25/2006,81.05,80.91,127.04,126.66,133.65,133.56
1/24/2006,81.39,80.85,126.63,126.55,132.63,133
1/23/2006,81.33,81.41,126.21,126.42,131.64,132.87
1/20/2006,83.04,81.36,128.28,125.97,132.85,131.44
1/19/2006,84.14,83.09,128.13,128.31,132.72,133.82
1/18/2006,84,83.8,127.58,127.82,131.06,132.37
1/17/2006,82.8,83,128.2,128.33,131,132.59
1/13/2006,83,83.17,128.57,128.68,132.02,133.26
1/12/2006,83.82,83.57,129.08,128.8,131.4,132.25
1/11/2006,84.37,84.17,129.02,129.31,131.45,131.97
1/10/2006,83.15,84.07,128.39,128.9,130.05,132.03
1/9/2006,83.9,83.73,128.42,128.77,128.5,130.39
1/6/2006,83.95,84.95,128.02,128.44,127.29,128.84
1/5/2006,81.4,82.5,127.15,127.38,126,127.04
1/4/2006,82.2,81.95,126.86,127.3,127.35,127.09
1/3/2006,82.45,82.06,125.19,126.7,126.7,128.87
